stock_code,description,parent_stock_type,parent_stock_code,stock_available
RR1131-BLK-M/L,"3Pc Crotchless Panty & Mask Se - Black Medium/Large",Set,RR1131,0,"Rene\1131-BLK","Rene\1131-BLK-B.jpg"
RR1131-BLK-S/M,"3Pc Crotchless Panty & Mask Se - Black Small/Medium",Set,RR1131,2,"Rene\1131-BLK","Rene\1131-BLK-B.jpg"
RR1134,,Tanga,RR1134,0,"Rene\1134-BLK","Rene\1134-BLK-B.jpg"
RR1135-RED-M/L,"Strap Up Crotchless Tanga - Red Medium/Large",Tanga,RR1135,0,"Rene\1135-RED","Rene\1135-RED-B.jpg"
RR1136-BLK-M/L,"Batting Eyelash Buttless Bikin - Black Medium/Large",Bikini,RR1136,28,"Rene\1136-BLK","Rene\1136-BLK-B.jpg"
RR1136-BLK-S/M,"Batting Eyelash Buttless Bikin - Black Small/Medium",Bikini,RR1136,35,"Rene\1136-BLK","Rene\1136-BLK-B.jpg"
RR1137-BLK-M/L,"Lace Lovers Crotchless Panty - Black Medium/Large",Panty,RR1137,3,"Rene\1137-BLK-04.jpg","Rene\1137-BLK-03.jpg"
RR1137-BLK-S/M,"Lace Lovers Crotchless Panty - Black Small/Medium",Panty,RR1137,3,"Rene\1137-BLK-04.jpg","Rene\1137-BLK-03.jpg"
RR1138-BLK-M/L,"Oh My Lace Crotchless Panty - Black Medium/Large",Panty,RR1138,0,"Rene\1138-BLK-02","Rene\1138-BLK-03.jpg"
RR1138-BLK-S/M,"Oh My Lace Crotchless Panty - Black Small/Medium",Panty,RR1138,0,"Rene\1138-BLK-02","Rene\1138-BLK-03.jpg"
RR1139-BLK-M/L,"Own It Crotchless Panty - Black Medium/Large",Panty,RR1139,0,"Rene\1139-BLK-01","Rene\1139-BLK-04.jpg"
RR1139-BLK-S/M,"Own It Crotchless Panty - Black Small/Medium",Panty,RR1139,0,"Rene\1139-BLK-01","Rene\1139-BLK-04.jpg"
RR1140-BLK-M/L,"Wild Crotchless Garter Panty - Black Medium/Large",Panty,RR1140,8,"Rene\1140-BLK-04","Rene\1140-BLK-06.jpg"
RR1141X-BLK-1X/2X,"Miss Behavior Crotchless Panty - Black 1X/2X",Panty,RR1141X,0,"Rene\1141X-BLK-8608","Rene\1141X-BLK-8641.jpg"
