stock_code,description,parent_stock_type,parent_stock_code,stock_available
STM10672-EMR-S/M,"Wondrous Babydoll Set - Emerald Small/Medium",Babydoll,STM10672,2,"STM\10672_Black_F.JPG","STM\10672_Black_B.JPG","STM\10672_RED_F.jpg","STM\10672_RED_B.jpg","STM\10672_FUS_F.jpg","STM\10672_FUS_B.jpg","STM\10672_NAVY_F.JPG","STM\10672_NAVY_B.jpg"
STM10672-WHT-LXL,"Wondrous Babydoll Set - White Large/X-Large/L",Babydoll,STM10672,0,"STM\10672_Black_F.JPG","STM\10672_Black_B.JPG","STM\10672_RED_F.jpg","STM\10672_RED_B.jpg","STM\10672_FUS_F.jpg","STM\10672_FUS_B.jpg","STM\10672_NAVY_F.JPG","STM\10672_NAVY_B.jpg"
STM10672-WHT-SM,"Wondrous Babydoll Set - White Small/Medium/S",Babydoll,STM10672,1,"STM\10672_Black_F.JPG","STM\10672_Black_B.JPG","STM\10672_RED_F.jpg","STM\10672_RED_B.jpg","STM\10672_FUS_F.jpg","STM\10672_FUS_B.jpg","STM\10672_NAVY_F.JPG","STM\10672_NAVY_B.jpg"
STM10672X-BLK-1X/2X,,Babydoll,STM10672X-BLK-1X/2X,47,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-BLK-3X/4X,,Babydoll,STM10672X-BLK-3X/4X,209,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-FUC-1X/2X,"Wondrous Babydoll Set - Fuchsia 1X/2X",Babydoll,STM10672X,0,"STM\10672X_FUS_F.jpg","STM\10672X_FUS_B.jpg"
STM10672X-FUC-3X/4X,"Wondrous Babydoll Set - Fuchsia 3X/4X",Babydoll,STM10672X,0,"STM\10672X_FUS_F.jpg","STM\10672_FUS_B.jpg"
STM10672X-NVY-1X/2X,"Wondrous Babydoll Set - Navy 1X/2X",Babydoll,STM10672X,79,"STM\10672X_NAVY_F.jpg","STM\10672X_NAVY_B.jpg"
STM10672X-NVY-3X/4X,"Wondrous Babydoll Set - Navy 3X/4X",Babydoll,STM10672X,394,"STM\10672X_NAVY_F.jpg","STM\10672X_NAVY_B.jpg"
STM10672X-RED-1X/2X,,Babydoll,STM10672X-RED-1X/2X,60,"STM\10672X_RED_F.jpg","STM\10672X_RED_B.jpg"
STM10672X-RED-3X/4X,"Wondrous Babydoll Set - Red 3X/4X",Babydoll,STM10672X,60,"STM\10672X_RED_F.jpg","STM\10672X_RED_B.jpg"
STM10672X-EMR-1X/2X,"Wondrous Babydoll Set - Emerald 1X/2X",Babydoll,STM10672X,1,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-EMR-3X/4X,"Wondrous Babydoll Set - Emerald 3X/4X",Babydoll,STM10672X,0,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-WHT-1X/2X,"Wondrous Babydoll Set - White 1X/2X/1X",Babydoll,STM10672X,1,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-WHT-3X/4X,"Wondrous Babydoll Set - White 3X/4X/3X",Babydoll,STM10672X,0,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-WHT-5X/6X,"Wondrous Babydoll Set - White 5X/6X",Babydoll,STM10672X,0,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-BLK-5X/6X,"Wondrous Babydoll Set - Black 5X/6X",Babydoll,STM10672X,0,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-NVY-5X/6X,"Wondrous Babydoll Set - Navy 5X/6X",Babydoll,STM10672X,10,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10672X-RED-5X/6X,"Wondrous Babydoll Set - Red 5X/6X",Babydoll,STM10672X,38,"STM\10672X_BLACK_F.jpg","STM\10672X_BLACK_B.jpg"
STM10676P,,"Bedroom Costume",STM10676P,0,"STM\10676P_RED_F.jpg","STM\10676P_RED_B.jpg"
STM10676XP,,"Bedroom Costume",STM10676XP,1,"STM\10676XP_RED_F.jpg","STM\10676XP_RED_B.jpg"
STM10692-BLK-S,"Savoir Faire Teddy Set - Black Small",Teddy,STM10692,0,"STM\10692_Black_F.JPG","STM\10692_Black_B.JPG"
STM10692-BLK-XL,"Savoir Faire Teddy Set - Black X-Large",Teddy,STM10692,9,"STM\10692_Black_F.JPG","STM\10692_Black_B.JPG"
STM10692X-BLK-1X/2X,"Savoir Faire Teddy Set - Black 1X/2X",Teddy,STM10692X,1,"STM\10692X_Black_F.JPG","STM\10692X_Black_B.JPG"
STM10692X-BLK-3X/4X,"Savoir Faire Teddy Set - Black 3X/4X",Teddy,STM10692X,6,"STM\10692X_Black_F.JPG","STM\10692X_Black_B.JPG"
STM10692X-NVY-1X2X,"Savoir Faire Teddy Set - Navy 1X2X",Teddy,STM10692X,1,"STM\10692X_Black_F.JPG","STM\10692X_Black_B.JPG"
STM10695-BLK-OS,,"Gowns & Robes",STM10695-BLK-OS,27,"STM\10695_BLACK_F.jpg","STM\10695_BLACK_B.jpg"
