stock_code,parent_stock_type,parent_stock_code,stock_available
RR1152X-BLK-3X/4X,Panty,RR1152X,1,"Rene\1152X-BLK--All-Tied-Up-Open-Back-Panty-1755","Rene\1152X-BLK--All-Tied-Up-Open-Back-Panty-1744.jpg"
RR1153X-BLK-1X/2X,Panty,RR1153X,2,"Rene\1153X-BLK--Attention-Seeker-Open-Back-Panty-1894","Rene\1153X-BLK--Attention-Seeker-Open-Back-Panty-1921.jpg"
RR1153X-BLK-3X/4X,Panty,RR1153X,1,"Rene\1153X-BLK--Attention-Seeker-Open-Back-Panty-1894","Rene\1153X-BLK--Attention-Seeker-Open-Back-Panty-1921.jpg"
RR1154X-WHT-1X/2X,Panty,RR1154X,10,"Rene\1154X-WHT--Forever-Sexy-Crotchless-Panty-3564.jpg","Rene\1154X-WHT--Forever-Sexy-Crotchless-Panty-3573.jpg"
RR1154X-WHT-3X/4X,Panty,RR1154X,11,"Rene\1154X-WHT--Forever-Sexy-Crotchless-Panty-3564.jpg","Rene\1154X-WHT--Forever-Sexy-Crotchless-Panty-3573.jpg"
RR20004-PNK-M/L,Teddy,RR20004,38,"Rene\20004-PNK","Rene\20004-HP-B.jpg"
RR20004-PNK-S/M,Teddy,RR20004,40,"Rene\20004-PNK","Rene\20004-HP-B.jpg"
RR20004-RED-M/L,Teddy,RR20004,4,"Rene\20004-RED","Rene\20004-RED-B.jpg"
RR20004-RED-S/M,Teddy,RR20004,252,"Rene\20004-RED","Rene\20004-RED-B.jpg"
RR20004-WHT-M/L,Teddy,RR20004,74,"Rene\20004-WHT","Rene\20004-WHT-B.jpg"
RR20004-WHT-S/M,Teddy,RR20004,63,"Rene\20004-WHT","Rene\20004-WHT-B.jpg"
RR21195-BLK-M/L,"Bra Set",RR21195,0,"Rene\21195-BLK","Rene\21195-BLK-B.jpg"
RR21195-BLK-S/M,"Bra Set",RR21195,1,"Rene\21195-BLK","Rene\21195-BLK-B.jpg"
RR21195-PNK-M/L,"Bra Set",RR21195,1,"Rene\21195-PNK","Rene\21195-PNK-B.jpg"
RR21195-PNK-S/M,"Bra Set",RR21195,0,"Rene\21195-PNK"
RR300980-BLK-L,Teddy,RR300980,6,"Rene\300980-BLK-front","Rene\300980-BLK-rear.jpg"
RR301190-LEO-M/L,"Bra Set",RR301190,11,"Rene\301190-2279"
RR301193-BLK-S/M,Teddy,RR301193,3,"Rene\301193-BLK"
RR301283-BLK-M/L,Teddy,RR301283,4,"Rene\301283-BLK","Rene\301283-BLK-B.jpg"
RR301284,Teddy,RR301284,0,"Rene\301284-BLK-front","Rene\301284-BLK-rear.jpg"
RR301285-BLK-S/M,Teddy,RR301285,0,"Rene\301285-BLK-front","Rene\301285-BLK-rear.jpg"
RR301471,Teddy,RR301471,39,"Rene\301471-3353-OS-front.jpg","Rene\301471-3353-OS-rear.jpg"
RR30941-BLK-L,Chemise,RR30941,17,"Rene\30941-BLK-front"
RR30941-BLK-M,Chemise,RR30941,0,"Rene\30941-BLK-front"
RR30941-BLK-S,Chemise,RR30941,5,"Rene\30941-BLK-front"
RR30941-RED-L,Chemise,RR30941,0,"Rene\30941-RED front","Rene\30941-RED rear.jpg"
RR30941-RED-M,Chemise,RR30941,5,"Rene\30941-RED front","Rene\30941-RED rear.jpg"
RR30941-RED-S,Chemise,RR30941,0,"Rene\30941-RED front","Rene\30941-RED rear.jpg"
RR321180-BLK-M/L,"Bra Set",RR321180,17,"Rene\321180-BLK front","Rene\321180-BLK rear.jpg"
RR321180-BLK-S/M,"Bra Set",RR321180,0,"Rene\321180-BLK front","Rene\321180-BLK rear.jpg"
RR321180-RED-M/L,"Bra Set",RR321180,1,"Rene\321180-RED"
RR321184-BLK-M/L,Merrywidow,RR321184,0,"Rene\321184-BLK-front"
RR321479,Teddy,RR321479,19,"Rene\321479-BLK-OS-front.jpg","Rene\321479-BLK-OS-rear.jpg"
RR50001X,Teddy,RR50001X,0,"Rene\50001X-BLK-7718","Rene\50001X-BLK-7787.jpg","Rene\50001X-RED-7855.jpg","Rene\50001X-RED-7904.jpg"
RR50002X-BLK-1X/2X,Chemise,RR50002X,5,"Rene\50002X-BLK-7170","Rene\50002X-BLK-7242.jpg"
RR50002X-BLK-3X/4X,Chemise,RR50002X,3,"Rene\50002X-BLK-7170","Rene\50002X-BLK-7242.jpg"
RR50003-BLK-M/L,Teddy,RR50003,1,"Rene\50003-BLK-9090","Rene\50003-BLK-9071.jpg"
RR50003-BLK-S/M,Teddy,RR50003,2,"Rene\50003-BLK-9090","Rene\50003-BLK-9071.jpg"
RR50004-BLK-M/L,Teddy,RR50004,9,"Rene\50004-BLK-9274","Rene\50004-BLK-9324.jpg"
RR50004-BLK-S/M,Teddy,RR50004,9,"Rene\50004-BLK-9274","Rene\50004-BLK-9324.jpg"
RR50005-BLK-M/L,Bodysuit,RR50005,4,"Rene\50005-BLK-9352","Rene\50005-BLK-9429.jpg"
RR50005-BLK-S/M,Bodysuit,RR50005,1,"Rene\50005-BLK-9352","Rene\50005-BLK-9429.jpg"
RR50006-BLK-M/L,Teddy,RR50006,5,"Rene\50006-BLK-ERIN-1784","Rene\50006-BLK-ERIN-1797.jpg"
RR50006-BLK-S/M,Teddy,RR50006,1,"Rene\50006-BLK-ERIN-1784","Rene\50006-BLK-ERIN-1797.jpg"
RR50007-BLK-M/L,Bodysuit,RR50007,2,"Rene\50007-BLK-0145","Rene\50007-BLK-0221.jpg"
RR50008-BLK-M/L,Bodysuit,RR50008,7,"Rene\50008-BLK-0296","Rene\50008-BLK-0269.jpg"
RR50009-BUR-M/L,Teddy,RR50009,5,"Rene\50009-BUR-6468","Rene\50009-BUR-6478.jpg"
RR50009-BUR-S/M,Teddy,RR50009,2,"Rene\50009-BUR-6468","Rene\50009-BUR-6478.jpg"
RR50009X-BUR-1X/2X,Teddy,RR50009X,5,"Rene\50009X-BUR-5700","Rene\50009X-BUR-5719.jpg"
RR50009X-BUR-3X/4X,Teddy,RR50009X,6,"Rene\50009X-BUR-5700","Rene\50009X-BUR-5719.jpg"
RR50010X-BLK-1X/2X,Teddy,RR50010X,2,"Rene\50010X-BLK-5905","Rene\50010X-BLK-5946.jpg"
