stock_code,parent_stock_type,parent_stock_code,stock_available
FV33820,Eyelash,FV33820,0,"Fever\33820.jpg"
FV33868-BRN-M,"Fancy Dress",FV33868,0,"Fever\33868.jpg"
FV33868-BRN-S,"Fancy Dress",FV33868,0,"Fever\33868.jpg"
FV33868-BRN-XS,"Fancy Dress",FV33868,0,"Fever\33868.jpg"
FV33869,Bodysuit,FV33869,0,"Fever\33869.jpg"
FV33955,Tutu/Peticoat,FV33955,0,"Fever\33955.jpg"
FV33957,Tutu/Peticoat,FV33957,0,"Fever\33957.jpg"
FV33958,Tutu/Peticoat,FV33958,0,"Fever\33958.jpg"
FV33998,Tutu/Peticoat,FV33998,0,"Fever\33998.jpg"
FV34028-BLK-M,"Fancy Dress",FV34028,0,"Fever\34028.jpg"
FV34028-BLK-S,"Fancy Dress",FV34028,0,"Fever\34028.jpg"
FV34192-BLK-L,"Fancy Dress",FV34192,0,"Fever\34192.jpg"
FV34192-BLK-M,"Fancy Dress",FV34192,0,"Fever\34192.jpg"
FV34192-BLK-S,"Fancy Dress",FV34192,0,"Fever\34192.jpg"
FV34192-BLK-XS,"Fancy Dress",FV34192,0,"Fever\34192.jpg"
FV34521,Eyelash,FV34521,0,"Fever\34521.jpg"
FV34532,Eyelash,FV34532,0,"Fever\34532_A1.jpg"
FV34537,Eyelash,FV34537,1,"Fever\34537.jpg"
FV34983,Eyelash,FV34983,0,"Fever\34983.jpg"
FV34986,Eyelash,FV34986,0,"Fever\34986.jpg"
FV34990,Eyelash,FV34990,3,"Fever\34990.jpg"
FV34994,Eyelash,FV34994,0,"Fever\34994.jpg"
FV34998,Eyelash,FV34998,0,"Fever\34998.jpg"
FV34999,Eyelash,FV34999,0,"Fever\34999.jpg"
FV35332-CAM-XS,"Fancy Dress",FV35332,0,"Fever\35332.jpg"
FV35608,Tights,FV35608,0,"Fever\35608.jpg"
FV36190-YEL-M,"Fancy Dress",FV36190,0,"Fever\36190.jpg"
FV36193-BLU-S,"Fancy Dress",FV36193,0,"Fever\36193.jpg"
FV36267,Hats,FV36267,0,"Fever\36267.jpg"
FV36520,Eyelash,FV36520,0,"Fever\36520.jpg"
FV36521,Eyelash,FV36521,0,"Fever\36521.jpg"
FV36522,Eyelash,FV36522,0,"Fever\36522.jpg"
FV36988-RED-L,"Fancy Dress",FV36988,0,"Fever\36988.jpg"
FV36988-RED-M,"Fancy Dress",FV36988,0,"Fever\36988.jpg"
FV36988-RED-S,"Fancy Dress",FV36988,0,"Fever\36988.jpg"
FV37131,Eyelash,FV37131,0,"Fever\37131.jpg"
FV37133,Eyelash,FV37133,0,"Fever\37133.jpg"
FV37180,Knicker,FV37180,0,"Fever\37180_A1.jpg"
FV38138,Headband,FV38138,0,"Fever\38138.jpg"
FV38490-RED-L,"Fancy Dress",FV38490,0,"Fever\38490.jpg"
FV38490-RED-M,"Fancy Dress",FV38490,0,"Fever\38490.jpg"
FV38490-RED-S,"Fancy Dress",FV38490,0,"Fever\38490.jpg"
FV39664-BLK-L,"Bedroom Costume",FV39664,1,"Fever\39664.jpg"
FV39809,Headband,FV39809,0,"Fever\39809.jpg"
FV39996-RED-S,"Fancy Dress",FV39996,0,"Fever\39996.jpg"
FV40089-WHT-L,"Bedroom Costume",FV40089,0,"Fever\40089.jpg"
FV40089-WHT-M,"Bedroom Costume",FV40089,0,"Fever\40089.jpg"
FV40089-WHT-S,"Bedroom Costume",FV40089,0,"Fever\40089.jpg"
FV40090-CAM-L,"Bedroom Costume",FV40090,0,"Fever\40090.jpg"
FV40090-CAM-M,"Bedroom Costume",FV40090,0,"Fever\40090.jpg"
FV40090-CAM-S,"Bedroom Costume",FV40090,0,"Fever\40090.jpg"
FV41000-BLU-L,"Fancy Dress",FV41000,0,"Fever\41000.jpg"
FV41000-BLU-X1,"Fancy Dress",FV41000,0,"Fever\41000.jpg"
FV41000-BLU-X2,"Fancy Dress",FV41000,0,"Fever\41000.jpg"
FV41000-BLU-X3,"Fancy Dress",FV41000,0,"Fever\41000.jpg"
FV41002-KHK-L,"Fancy Dress",FV41002,0,"Fever\41002.jpg","Fever\41002_S.jpg","Fever\41002_B.jpg"
FV41002-KHK-X1,"Fancy Dress",FV41002,0,"Fever\41002.jpg","Fever\41002_S.jpg","Fever\41002_B.jpg"
FV41002-KHK-X2,"Fancy Dress",FV41002,0,"Fever\41002.jpg","Fever\41002_S.jpg","Fever\41002_B.jpg"
FV41002-KHK-X3,"Fancy Dress",FV41002,0,"Fever\41002.jpg","Fever\41002_S.jpg","Fever\41002_B.jpg"
FV41003-BLK-L,"Fancy Dress",FV41003,0,"Fever\41003.jpg","Fever\41003_S.jpg","Fever\41003_B.jpg"
FV41003-BLK-X1,"Fancy Dress",FV41003,0,"Fever\41003.jpg","Fever\41003_S.jpg","Fever\41003_B.jpg"
FV41003-BLK-X2,"Fancy Dress",FV41003,0,"Fever\41003.jpg","Fever\41003_S.jpg","Fever\41003_B.jpg"
FV41003-BLK-X3,"Fancy Dress",FV41003,0,"Fever\41003.jpg","Fever\41003_S.jpg","Fever\41003_B.jpg"
FV41004-WHT-L,"Fancy Dress",FV41004,0,"Fever\41004_S.jpg"
FV41004-WHT-X1,"Fancy Dress",FV41004,0,"Fever\41004_S.jpg"
FV41004-WHT-X2,"Fancy Dress",FV41004,0,"Fever\41004_S.jpg"
FV41004-WHT-X3,"Fancy Dress",FV41004,0,"Fever\41004_S.jpg"
FV41038-RED-M,"Fancy Dress",FV41038,0,"Fever\41038.jpg"
FV41038-RED-S,"Fancy Dress",FV41038,0,"Fever\41038.jpg"
FV41042-BLK-M,"Fancy Dress",FV41042,0,"Fever\41042.jpg"
FV41042-BLK-S,"Fancy Dress",FV41042,0,"Fever\41042.jpg"
FV41042-BLK-XS,"Fancy Dress",FV41042,0,"Fever\41042.jpg"
FV41109-GRN-L,"Fancy Dress",FV41109,0,"Fever\41109.jpg"
FV41109-GRN-M,"Fancy Dress",FV41109,0,"Fever\41109.jpg"
FV41109-GRN-S,"Fancy Dress",FV41109,0,"Fever\41109.jpg"
FV41116,Bodysuit,FV41116,0,"Fever\41116.jpg"
FV41300,Tights,FV41300,0,"Fever\41300.jpg"
FV41302,Tights,FV41302,0,"Fever\41302.jpg"
FV42314-BLK/WHT-M,"Bedroom Costume",FV42314,2,"Fever\42314.jpg"
FV42314-BLK/WHT-S,"Bedroom Costume",FV42314,0,"Fever\42314.jpg"
FV42314-BLK/WHT-L,"Bedroom Costume",FV42314,0,"Fever\42314.jpg"
FV42329-BLU-S,"Fancy Dress",FV42329,0,"Fever\42329.jpg"
FV42489,Wig,FV42489,0,"Fever\42489.jpg"
FV42490,Wig,FV42490,0,"Fever\42490.jpg"
FV42491,Wig,FV42491,0,"Fever\42491.jpg"
FV42494,Wig,FV42494,0,"Fever\42494.jpg"
FV42495,Wig,FV42495,0,"Fever\42495.jpg"
FV42496,Wig,FV42496,0,"Fever\42496.jpg"
FV42497,Wig,FV42497,0,"Fever\42497.jpg"
FV42498,Wig,FV42498,0,"Fever\42498_W.jpg"
FV42499,Wig,FV42499,0,"Fever\42499_W.jpg"
FV42500,Wig,FV42500,0,"Fever\42500_W.jpg"
FV42502,Wig,FV42502,0,"Fever\42502_W.jpg"
FV42505,Wig,FV42505,0,"Fever\42505_W.jpg"
FV42506,Wig,FV42506,0,"Fever\42506_W.jpg"
FV42507,Wig,FV42507,0,"Fever\42507_W.jpg"
FV42509,Wig,FV42509,0,"Fever\42509_W.jpg"
FV42510,Wig,FV42510,0,"Fever\42510_W.jpg"
FV42512,Wig,FV42512,0,"Fever\42512_W.jpg"
FV42513,Wig,FV42513,0,"Fever\42513_W.jpg"
FV42514,Wig,FV42514,0,"Fever\42514_W.jpg"
FV42515,Wig,FV42515,0,"Fever\42515_W.jpg"
FV42516,Wig,FV42516,0,"Fever\42516_W.jpg"
FV42521,Wig,FV42521,0,"Fever\42521_W.jpg"
FV42522,Wig,FV42522,0,"Fever\42522_W.jpg"
FV42523,Wig,FV42523,0,"Fever\42523_W.jpg"
FV42524,Wig,FV42524,0,"Fever\42524_W.jpg"
FV42525,Wig,FV42525,0,"Fever\42525_W.jpg"
FV42526,Wig,FV42526,0,"Fever\42526_W.jpg"
FV42527,Wig,FV42527,0,"Fever\42527_W.jpg"
FV42528,Wig,FV42528,0,"Fever\42528_W.jpg"
FV42533,Wig,FV42533,0,"Fever\42533_W.jpg"
FV42534,Wig,FV42534,0,"Fever\42534_W.jpg"
FV42535,Wig,FV42535,0,"Fever\42535_W.jpg"
FV42536,Wig,FV42536,0,"Fever\42536_W.jpg"
FV42538,Wig,FV42538,0,"Fever\42538_W.jpg"
