stock_code,description,parent_stock_type,parent_stock_code,stock_available
MP145240-PRNT-XL,"Mini Short - Print X-Large",Shorts,MP145240,5,"Male_Power\145240PR.jpg","Male_Power\145240PR_Back.jpg"
MP145240-PRNT-M,"Mini Short - Print Medium",Shorts,MP145240,5,"Male_Power\145240PR.jpg","Male_Power\145240PR_Back.jpg"
MP153003-BLK-XL,"Pouch Short - Black X-Large",Shorts,MP153003,1,"Male_Power\153003BK_2.jpg","Male_Power\153003BK_Back.jpg"
MP153030-LEO-M,"Pouch Short - Leopard Medium",Shorts,MP153030,1,"Male_Power\153030BL.jpg","Male_Power\153030BL_Back.jpg"
MP153032-BLU-S,"Pouch Short - Blue Small",Shorts,MP153032,2,"Male_Power\153032BE.jpg","Male_Power\153032BE_Back.jpg"
MP153032-BLU-M,"Pouch Short - Blue Medium",Shorts,MP153032,2,"Male_Power\153032BE.jpg","Male_Power\153032BE_Back.jpg"
MP153032-BLU-L,"Pouch Short - Blue Large",Shorts,MP153032,2,"Male_Power\153032BE.jpg","Male_Power\153032BE_Back.jpg"
MP153032-BLU-XL,"Pouch Short - Blue X-Large",Shorts,MP153032,2,"Male_Power\153032BE.jpg","Male_Power\153032BE_Back.jpg"
MP153032-BRN-S,"Pouch Short - Brown Small",Shorts,MP153032,2,"Male_Power\153032BN.jpg","Male_Power\153032BN_Back.jpg"
MP153032-BRN-M,"Pouch Short - Brown Medium",Shorts,MP153032,2,"Male_Power\153032BN.jpg","Male_Power\153032BN_Back.jpg"
MP153032-BRN-L,"Pouch Short - Brown Large",Shorts,MP153032,1,"Male_Power\153032BN.jpg","Male_Power\153032BN_Back.jpg"
MP153032-BRN-XL,"Pouch Short - Brown X-Large",Shorts,MP153032,2,"Male_Power\153032BN.jpg","Male_Power\153032BN_Back.jpg"
MP153032-WHT-S,"Pouch Short - White Small",Shorts,MP153032,2,"Male_Power\153032WH.jpg","Male_Power\153032WH_Back.jpg"
MP153032-WHT-L,"Pouch Short - White Large",Shorts,MP153032,1,"Male_Power\153032WH.jpg","Male_Power\153032WH_Back.jpg"
MP153032-WHT-XL,"Pouch Short - White X-Large",Shorts,MP153032,2,"Male_Power\153032WH.jpg","Male_Power\153032WH_Back.jpg"
MP153051-BLK-M,"Pouch Short - Black Medium",Shorts,MP153051,1,"Male_Power\153051BK.jpg","Male_Power\153051BK_Back.jpg"
MP153051-BLK-L,"Pouch Short - Black Large",Shorts,MP153051,2,"Male_Power\153051BK.jpg","Male_Power\153051BK_Back.jpg"
MP153051-BLK-XL,"Pouch Short - Black X-Large",Shorts,MP153051,3,"Male_Power\153051BK.jpg","Male_Power\153051BK_Back.jpg"
MP153051-BLK-S,"Pouch Short - Black Small",Shorts,MP153051,0,"Male_Power\153051BK.jpg","Male_Power\153051BK_Back.jpg"
MP153070-SLV-M,,Shorts,MP153070-SLV-M,3,"Male_Power\153070SI_1.jpg"
MP153070-SLV-XL,,Shorts,MP153070-SLV-XL,12,"Male_Power\153070SI_1.jpg"
MP153070-SLV-L,"Mini Short - Silver Large",Shorts,MP153070,1,"Male_Power\153070SI.jpg","Male_Power\153070SI_Back.jpg"
MP153070-GLD-L,"Mini Short - Gold Large",Shorts,MP153070,0,"Male_Power\153070GO.jpg","Male_Power\153070GO_Back.jpg"
MP153070-GLD-M,"Mini Short - Gold Medium",Shorts,MP153070,0,"Male_Power\153070GO.jpg","Male_Power\153070GO_Back.jpg"
MP153070-GLD-S,"Mini Short - Gold Small",Shorts,MP153070,0,"Male_Power\153070GO.jpg","Male_Power\153070GO_Back.jpg"
MP153070-GLD-XL,"Mini Short - Gold X-Large",Shorts,MP153070,0,"Male_Power\153070GO.jpg","Male_Power\153070GO_Back.jpg"
MP153070-RED-M,"Mini Short - Red Medium",Shorts,MP153070,0,"Male_Power\153070RE.jpg","Male_Power\153070RE_Back.jpg"
MP153070-RED-L,"Mini Short - Red Large",Shorts,MP153070,0,"Male_Power\153070RE.jpg","Male_Power\153070RE_Back.jpg"
