stock_code,parent_stock_type,parent_stock_code,stock_available
STM10718-RED-M,Teddy,STM10718,0,"STM\10718_RED_F.JPG","STM\10718_RED_B.JPG"
STM10718-RED-L,Teddy,STM10718,0,"STM\10718_RED_F.JPG","STM\10718_RED_B.JPG"
STM10718-RED-XL,Teddy,STM10718,0,"STM\10718_RED_F.JPG","STM\10718_RED_B.JPG"
STM10718-WHT-S,Teddy,STM10718,4,"STM\10718_White_F.JPG","STM\10718_White_B.JPG"
STM10718-WHT-M,Teddy,STM10718,1,"STM\10718_White_F.JPG","STM\10718_White_B.JPG"
STM10718-WHT-L,Teddy,STM10718,2,"STM\10718_White_F.JPG","STM\10718_White_B.JPG"
STM10718-WHT-XL,Teddy,STM10718,3,"STM\10718_White_F.JPG","STM\10718_White_B.JPG"
STM10718-BLU-$E4887,Teddy,STM10718,,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG","STM\10718_White_F.JPG","STM\10718_White_B.JPG","STM\10718_RED_F.JPG","STM\10718_RED_B.JPG"
STM10718-PUR-$E4887,Teddy,STM10718,,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG","STM\10718_White_F.JPG","STM\10718_White_B.JPG","STM\10718_RED_F.JPG","STM\10718_RED_B.JPG"
STM10718-BLU-L,Teddy,STM10718,0,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG","STM\10718_White_F.JPG","STM\10718_White_B.JPG","STM\10718_RED_F.JPG","STM\10718_RED_B.JPG"
STM10718-BLU-M,Teddy,STM10718,0,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG","STM\10718_White_F.JPG","STM\10718_White_B.JPG","STM\10718_RED_F.JPG","STM\10718_RED_B.JPG"
STM10718-BLU-S,Teddy,STM10718,0,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG","STM\10718_White_F.JPG","STM\10718_White_B.JPG","STM\10718_RED_F.JPG","STM\10718_RED_B.JPG"
