stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
MSB421-BLU-L,"Magic Silk Cupless Corset & G-String / Blue / Large",Lingerie,MSB421,1,product,"Magic Silk\B421BLU.jpg","Magic Silk\B420 & B421 Back BLU.jpg"
MSB421-PNK-M,"Magic Silk Cupless Corset & G-String / Pink / Medium",Lingerie,MSB421,4,product,"Magic Silk\B421PIN.jpg","Magic Silk\B421PIN Back.jpg"
MSB421-PNK-S,"Magic Silk Cupless Corset & G-String / Pink / Small",Lingerie,MSB421,10,product,"Magic Silk\B421PIN.jpg","Magic Silk\B421PIN Back.jpg"
MSB426-NDE-QS,,Babydoll,MSB426-NDE-QS,1,product,"Magic Silk\B426NUD_QS.jpg","Magic Silk\B426NUD_Back_QS.jpg"
MSB462-GRN-QS,,"Bra Set",MSB462-GRN-QS,2,product,"Magic Silk\B462GRN_QS.jpg","Magic Silk\B462GRN_Cupless_QS.jpg","Magic Silk\B462GRN_Back_QS.jpg","Magic Silk\B462GRN_ALT_QS.jpg"
MSB463,,Lingerie,MSB463,0,product,"Magic Silk\B463GRN.jpg","Magic Silk\B463GRN_Back.jpg"
MSB466-GRN-QS,,Chemise,MSB466-GRN-QS,3,product,"Magic Silk\B466GRN_QS.jpg","Magic Silk\B466GRN_Cupless_QS.jpg","Magic Silk\B466GRN_Back_QS.jpg","Magic Silk\B466GRN_ALT_QS.jpg"
MSB474-BLU-S/M,"Bra, Garter Skirt & G-String - Blue Small/Medium",Lingerie,MSB474,6,product,"Magic Silk\B474BLU.jpg","Magic Silk\B474BLU_Back.jpg"
MSB474-WHT-S/M,"Bra, Garter Skirt & G-String - White Small/Medium",Lingerie,MSB474,1,product,"Magic Silk\B474WHT.jpg","Magic Silk\B474WHT_Back.jpg"
MSB476-BLK-S/M,"Cupless & Crotchless Teddy - Black Small/Medium",Lingerie,MSB476,1,product,"Magic Silk\B476BLK.jpg","Magic Silk\B476BLK_Back.jpg"
MSB476-BLK-L/XL,"Cupless & Crotchless Teddy - Black Large/X-Large",Lingerie,MSB476,1,product,"Magic Silk\B476BLK.jpg","Magic Silk\B476BLK_Back.jpg"
MSB476-BLU-S/M,"Cupless & Crotchless Teddy - Blue Small/Medium",Lingerie,MSB476,12,product,"Magic Silk\B476BLU_2.jpg","Magic Silk\B476BLU_Back.jpg"
MSB476-BLU-L/XL,"Cupless & Crotchless Teddy - Blue Large/X-Large",Lingerie,MSB476,13,product,"Magic Silk\B476BLU_2.jpg","Magic Silk\B476BLU_Back.jpg"
MSB495-BLK-L/XL,"Cupless & Crotchless Teddy - Black Large/X-Large",Lingerie,MSB495,1,product,"Magic Silk\B495BLK.jpg","Magic Silk\B495BLK_Back.jpg"
MSB495-PNK-S/M,"Cupless & Crotchless Teddy - Pink Small/Medium",Lingerie,MSB495,3,product,"Magic Silk\B495PIN.jpg","Magic Silk\B495PIN_Back.jpg"
MSB495-PNK-L/XL,"Cupless & Crotchless Teddy - Pink Large/X-Large",Lingerie,MSB495,1,product,"Magic Silk\B495PIN.jpg","Magic Silk\B495PIN_Back.jpg"
MSB497-BLK-L/XL,"Cupless & Crotchless Baby Doll & G-String - Black Large/X-Large",Lingerie,MSB497,2,product,"Magic Silk\B497BLK.jpg","Magic Silk\B497BLK_Back.jpg"
