stock_code,parent_stock_type,parent_stock_code,stock_available
MSPAK249-BLK-QUEEN,Bondage,MSPAK249,4,"Magic Silk\PAK-249ST_QS .jpg","Magic Silk\PAK-249ST_ALT_QS .jpg","Magic Silk\PAK-249ST_Back_QS .jpg"
MSPAK251-BLK-L/XL,Bondage,MSPAK251,1,"Magic Silk\PAK-251ST.jpg","Magic Silk\PAK-251ST_Back.jpg"
MSPAK251-BLK-S/M,Bondage,MSPAK251,4,"Magic Silk\PAK-251ST.jpg","Magic Silk\PAK-251ST_Back.jpg"
MSPAK252-BLK-L/XL,Bondage,MSPAK252,5,"Magic Silk\PAK-252ST.jpg","Magic Silk\PAK-252ST_Back.jpg"
MSPAK252-BLK-S/M,Bondage,MSPAK252,4,"Magic Silk\PAK-252ST.jpg","Magic Silk\PAK-252ST_Back.jpg"
MSPAK253-BLK-S/M,Bondage,MSPAK253-BLK-S/M,0,"Magic Silk\PAK-253ST.jpg","Magic Silk\PAK-253ST_Back.jpg"
MSPAK253-BLK-QUEEN,Bondage,MSPAK253,3,"Magic Silk\PAK-253ST_QS.jpg","Magic Silk\PAK-253ST_ALT_QS .jpg","Magic Silk\PAK-253ST_Back_QS.jpg"
MSB440-BLK-LXL,"Bustiers & Corsets",MSB440,1,"Magic Silk\B440BLK.jpg","Magic Silk\B440BLK_Back.jpg"
MSB441-BLK-LXL,"Bustiers & Corsets",MSB441,2,"Magic Silk\B441BLK.jpg","Magic Silk\B441BLK_Back.jpg"
MSB441-BLK-SM,"Bustiers & Corsets",MSB441,1,"Magic Silk\B441BLK.jpg","Magic Silk\B441BLK_Back.jpg"
MSB443-BLK-LXL,Teddy,MSB443,1,"Magic Silk\B443.jpg","Magic Silk\B443_B_files\B443_B.jpg"
MSB455-BLK-LXL,Teddy,MSB455,6,"Magic Silk\B455BLK.jpg","Magic Silk\B455BLK_Back.jpg"
MSB455-BLK-SM,Teddy,MSB455,1,"Magic Silk\B455BLK.jpg","Magic Silk\B455BLK_Back.jpg"
MSB455-WHT-LXL,Teddy,MSB455,2,"Magic Silk\B455WHT.jpg","Magic Silk\B455WHT_Back.jpg"
MSB456-PNK-LXL,Teddy,MSB456,4,"Magic Silk\B456PIN.jpg","Magic Silk\B456PIN_Back.jpg"
MSB456-BLK-LXL,Teddy,MSB456,4,"Magic Silk\B456BLK.jpg","Magic Silk\B456BLK_Back.jpg"
MSB456-BLK-SM,Teddy,MSB456,4,"Magic Silk\B456BLK.jpg","Magic Silk\B456BLK_Back.jpg"
MSB456-WHT-LXL,Teddy,MSB456,1,"Magic Silk\B456WHT.jpg","Magic Silk\B456WHT_Back.jpg"
MSB457-WHT-LXL,Teddy,MSB457,2,"Magic Silk\B457-WHT.jpg","Magic Silk\B457-WHT-B.jpg"
MSB458-WHT-LXL,Teddy,MSB458,2,"Magic Silk\B458 white.jpg","Magic Silk\B458 white back.jpg"
MSB459-WHT-LXL,Teddy,MSB459,2,"Magic Silk\B459WHT.jpg","Magic Silk\B459WHT_Back.jpg"
MSB459-BLK-LXL,Teddy,MSB459,1,"Magic Silk\B459BLK.jpg","Magic Silk\B459BLK_Back.jpg"
MSB459-PNK-LXL,Teddy,MSB459,2,"Magic Silk\B459PIN.jpg","Magic Silk\B459PIN_Back.jpg"
MSB459-YEL-LXL,Teddy,MSB459,1,"Magic Silk\B459YEL.jpg","Magic Silk\B459YEL_Back.jpg"
MSB461-BLK-LXL,Dress,MSB461,3,"Magic Silk\B461BLK.jpg","Magic Silk\B461BLK_Back.jpg"
MSB477-RED-LXL,Wrap,MSB477,2,"Magic Silk\B477RED.jpg","Magic Silk\B477RED_Back.jpg"
MSB477-WHT-SM,Wrap,MSB477,1,"Magic Silk\B477WHT.jpg","Magic Silk\B477WHT_Back.jpg"
MSB484-BLK-SM,Dress,MSB484,2,"Magic Silk\B484BLK.jpg","Magic Silk\B484BLK_Back.jpg"
MSB486-BLK-SM,"Bra Set",MSB486,2,"Magic Silk\B486BLK.jpg","Magic Silk\B486BLK_Back.jpg"
MSB496-BLK-LXL,"Bra Set",MSB496,2,"Magic Silk\B496BLK.jpg","Magic Silk\B496BLK_Back.jpg"
MSB496-BLK-SM,"Bra Set",MSB496,1,"Magic Silk\B496BLK.jpg","Magic Silk\B496BLK_Back.jpg"
MSB498-BLK-LXL,Babydoll,MSB498,1,"Magic Silk\B498BLK.jpg","Magic Silk\B498BLK_Back.jpg"
MSB498-BLK-SM,Babydoll,MSB498,1,"Magic Silk\B498BLK.jpg","Magic Silk\B498BLK_Back.jpg"
MSB498-PNK-LXL,Babydoll,MSB498,1,"Magic Silk\B498PIN.jpg","Magic Silk\B498PIN_Back.jpg"
MSB501-BLK-SM,Bodysuit,MSB501,1,"Magic Silk\B501BLK.jpg","Magic Silk\B501BLK_Back.jpg"
MSB540-BLK-SM,Babydoll,MSB540,4,"Magic Silk\B540BLK_2.jpg","Magic Silk\B540BLK_Back.jpg"
MSB567-BLK-OS,Gloves,MSB567,4,"Male_Power\B567BLK"
MSB570-BLK-LXL,Dress,MSB570,1,"Magic Silk\B570BLK.jpg","Magic Silk\B570BLK_Back.jpg"
MSB591-BLK-LXL,Babydoll,MSB591,3,"Magic Silk\B591BLK.jpg","Magic Silk\B591BLK_Back.jpg"
MSB591-BLK-SM,Babydoll,MSB591,4,"Magic Silk\B591BLK.jpg","Magic Silk\B591BLK_Back.jpg"
MSB592-BLK-LXL,Babydoll,MSB592,2,"Magic Silk\B592BLK.jpg","Magic Silk\B592BLK_Back.jpg"
MSB592-BLK-SM,Babydoll,MSB592,2,"Magic Silk\B592BLK.jpg","Magic Silk\B592BLK_Back.jpg"
MSB594-BLK-SM,"Bra Set",MSB594,4,"Magic Silk\B594BLK.jpg","Magic Silk\B594BLK_Back.jpg"
MSB606-BLK-LXL,Teddy,MSB606,6,"Magic Silk\B606BLK.jpg","Magic Silk\B606BLK_Back.jpg"
MSB606-BLK-SM,Teddy,MSB606,2,"Magic Silk\B606BLK.jpg","Magic Silk\B606BLK_Back.jpg"
MSB607-BLK-LXL,"Bra Set",MSB607,4,"Magic Silk\B607BLK.jpg","Magic Silk\B607BLK_Back.jpg"
MSB607-BLK-SM,"Bra Set",MSB607,3,"Magic Silk\B607BLK.jpg","Magic Silk\B607BLK_Back.jpg"
